,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,FinishedBsmtAreaSF,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,GoodFloorAreaSFabovegrade,TotalFinishedAreaSF,BsmtFullBath,BsmtHalfBath,TotalBathBasement,FullBath,HalfBath,TotalBathroomsAboveGrade,TotalBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotalRooms,TotalRooms_bathroomas1,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,TotalPorchArea,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,agebybuilt,agebyremodel,TotalGrBsmtSF,OA1,OA2
0,1,60,RL,65.0,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,706,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1710,2416,1,0,1.0,2,1,2.5,3.5,3,1,Gd,7.5,8,8,Typ,0,NA,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,0,0,0,61,0,NA,NA,NA,0,2,2008,WD,Normal,208500,5,5,2566,2762,3310
1,2,20,RL,80.0,9600,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,978,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,1262,2240,0,1,0.5,2,0,2.0,2.5,3,1,TA,6.5,7,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,181500,31,31,2524,2524,2984
2,3,60,RL,68.0,11250,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,486,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1786,2272,1,0,1.0,2,1,2.5,3.5,3,1,Gd,7.5,8,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,0,0,0,42,0,NA,NA,NA,0,9,2008,WD,Normal,223500,7,6,2706,2868,3476
3,4,70,RL,60.0,9550,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,WdShing,None,0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,216,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1717,1933,1,0,1.0,1,0,1.0,2.0,3,1,Gd,6.0,6,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,272,0,0,307,0,NA,NA,NA,0,2,2006,WD,Abnorml,140000,91,36,2473,2473,3115
4,5,60,RL,84.0,14260,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,655,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,2198,2853,1,0,1.0,2,1,2.5,3.5,4,1,Gd,8.5,9,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,0,0,0,84,0,NA,NA,NA,0,12,2008,WD,Normal,250000,8,8,3343,3693,4529
5,6,50,RL,85.0,14115,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,732,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1362,2094,1,0,1.0,1,1,1.5,2.5,1,1,TA,4.5,5,5,Typ,0,NA,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,0,320,0,350,0,NA,MnPrv,Shed,700,10,2009,WD,Normal,143000,16,14,2158,2158,2638
6,7,20,RL,75.0,10084,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,1369,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1694,3063,1,0,1.0,2,0,2.0,3.0,3,1,Gd,7.0,7,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,0,0,0,57,0,NA,NA,NA,0,8,2007,WD,Normal,307000,3,2,3380,3566,4202
7,8,60,RL,70.04995836802665,10382,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,891,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,2090,2981,1,0,1.0,2,1,2.5,3.5,3,1,TA,7.5,8,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,228,0,0,432,0,NA,NA,Shed,350,11,2009,WD,Normal,200000,36,36,3197,3437,3921
8,9,50,RM,51.0,6120,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,WdShing,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,1774,1774,0,0,0.0,2,0,2.0,2.0,2,2,TA,6.0,6,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,205,0,0,205,0,NA,NA,NA,0,4,2008,WD,Abnorml,129900,77,58,2726,2726,3194
9,10,190,RL,50.0,7420,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2FmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,851,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1077,1928,1,0,1.0,1,0,1.0,2.0,2,2,TA,6.0,6,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,0,0,0,4,0,NA,NA,NA,0,1,2008,WD,Normal,118000,69,58,2068,2068,2273
