,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,FinishedBsmtAreaSF,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,GoodFloorAreaSFabovegrade,TotalFinishedAreaSF,BsmtFullBath,BsmtHalfBath,TotalBathBasement,FullBath,HalfBath,TotalBathroomsAboveGrade,TotalBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotalRooms,TotalRooms_bathroomas1,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,TotalPorchArea,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,agebybuilt,agebyremodel,TotalGrBsmtSF,OA1,OA2
0,1461,20,RH,80.0,11622,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Names,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,468.0,LwQ,144.0,612.0,270.0,882.0,GasA,TA,Y,SBrkr,896,0,0,896,896,1508.0,0.0,0.0,0.0,1,0,1.0,1.0,2,1,TA,4.0,4.0,5,Typ,0,NA,Attchd,1961.0,Unf,1.0,730.0,TA,TA,Y,140,0,0,0,120,120,0,NA,MnPrv,NA,0,6,2010,WD,Normal,49,49,1778.0,1778.0,2508.0
1,1462,20,RL,81.0,14267,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Names,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108,TA,TA,CBlock,TA,TA,No,ALQ,923.0,Unf,0.0,923.0,406.0,1329.0,GasA,TA,Y,SBrkr,1329,0,0,1329,1329,2252.0,0.0,0.0,0.0,1,1,1.5,1.5,3,1,Gd,5.5,6.0,6,Typ,0,NA,Attchd,1958.0,Unf,1.0,312.0,TA,TA,Y,393,36,0,0,0,36,0,NA,NA,Gar2,12500,6,2010,WD,Normal,52,52,2658.0,2766.0,3078.0
2,1463,60,RL,74.0,13830,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,GLQ,791.0,Unf,0.0,791.0,137.0,928.0,GasA,Gd,Y,SBrkr,928,701,0,1629,1629,2420.0,0.0,0.0,0.0,2,1,2.5,2.5,3,1,TA,6.5,7.0,6,Typ,1,TA,Attchd,1997.0,Fin,2.0,482.0,TA,TA,Y,212,34,0,0,0,34,0,NA,MnPrv,NA,0,3,2010,WD,Normal,13,12,2557.0,2557.0,3039.0
3,1464,60,RL,78.0,9978,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20,TA,TA,PConc,TA,TA,No,GLQ,602.0,Unf,0.0,602.0,324.0,926.0,GasA,Ex,Y,SBrkr,926,678,0,1604,1604,2206.0,0.0,0.0,0.0,2,1,2.5,2.5,3,1,Gd,6.5,7.0,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,470.0,TA,TA,Y,360,36,0,0,0,36,0,NA,NA,NA,0,6,2010,WD,Normal,12,12,2530.0,2550.0,3020.0
4,1465,120,RL,43.0,5005,Pave,NA,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,Gd,TA,No,ALQ,263.0,Unf,0.0,263.0,1017.0,1280.0,GasA,Ex,Y,SBrkr,1280,0,0,1280,1280,1543.0,0.0,0.0,0.0,2,0,2.0,2.0,2,1,Gd,5.0,5.0,5,Typ,0,NA,Attchd,1992.0,RFn,2.0,506.0,TA,TA,Y,0,82,0,0,144,226,0,NA,NA,NA,0,1,2010,WD,Normal,18,18,2560.0,2560.0,3066.0
5,1466,60,RL,75.0,10000,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,0.0,763.0,763.0,GasA,Gd,Y,SBrkr,763,892,0,1655,1655,1655.0,0.0,0.0,0.0,2,1,2.5,2.5,3,1,TA,6.5,7.0,7,Typ,1,TA,Attchd,1993.0,Fin,2.0,440.0,TA,TA,Y,157,84,0,0,0,84,0,NA,NA,NA,0,4,2010,WD,Normal,17,16,2418.0,2418.0,2858.0
6,1467,20,RL,68.58035714285714,7980,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,935.0,233.0,1168.0,GasA,Ex,Y,SBrkr,1187,0,0,1187,1187,2122.0,1.0,0.0,1.0,2,0,2.0,3.0,3,1,TA,7.0,7.0,6,Typ,0,NA,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,483,21,0,0,0,21,0,NA,GdPrv,Shed,500,3,2010,WD,Normal,18,3,2355.0,2355.0,2775.0
7,1468,60,RL,63.0,8402,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,0.0,789.0,789.0,GasA,Gd,Y,SBrkr,789,676,0,1465,1465,1465.0,0.0,0.0,0.0,2,1,2.5,2.5,3,1,TA,6.5,7.0,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,393.0,TA,TA,Y,0,75,0,0,0,75,0,NA,NA,NA,0,5,2010,WD,Normal,12,12,2254.0,2254.0,2647.0
8,1469,20,RL,85.0,10176,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,PConc,Gd,TA,Gd,GLQ,637.0,Unf,0.0,637.0,663.0,1300.0,GasA,Gd,Y,SBrkr,1341,0,0,1341,1341,1978.0,1.0,0.0,1.0,1,1,1.5,2.5,2,1,Gd,5.5,6.0,5,Typ,1,Po,Attchd,1990.0,Unf,2.0,506.0,TA,TA,Y,192,0,0,0,0,0,0,NA,NA,NA,0,2,2010,WD,Normal,20,20,2641.0,2641.0,3147.0
9,1470,20,RL,70.0,8400,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Names,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,804.0,Rec,78.0,882.0,0.0,882.0,GasA,TA,Y,SBrkr,882,0,0,882,882,1764.0,1.0,0.0,1.0,1,0,1.0,2.0,2,1,TA,5.0,5.0,4,Typ,0,NA,Attchd,1970.0,Fin,2.0,525.0,TA,TA,Y,240,0,0,0,0,0,0,NA,MnPrv,NA,0,4,2010,WD,Normal,40,40,1764.0,1764.0,2289.0
